time_stamp,encoder_value
1,2.418626425
2,3.743058073
3,5.65310525
4,8.525064931
5,9.405683581
6,11.22370973
7,14.40188169
8,14.15934091
9,16.88235218
10,19.44601173
11,21.19734111
12,22.95370177
13,25.42837492
14,27.10785062
15,26.97679843
16,29.12816439
17,31.84749698
18,32.21476714
19,33.13623769
20,36.1609999
21,38.56599101
22,39.77864765
23,41.67364571
24,41.40508123
25,42.33289495
26,45.58661348
27,47.41779452
28,48.43401983
29,50.81751105
30,50.1822894
31,53.25589427
32,54.38673759
33,55.04639711
34,57.10299824
35,58.41709102
36,60.15236101
37,61.31250802
38,62.41154754
39,63.85609068
40,64.40431808
41,68.22332706
42,68.65013944
43,68.61224376
44,70.25325954
45,72.93275538
46,74.52655475
47,75.69423041
48,76.64291876
49,76.32320745
50,77.91912615
51,78.55904029
52,79.56126801
53,79.96979205
54,81.15713574
55,84.61624699
56,84.68131753
57,84.12763446
58,86.99713771
59,87.39462971
60,87.18165106
61,87.7363288
62,91.27332393
63,91.0580018
64,92.22627861
65,91.53218775
66,92.85141908
67,93.85065923
68,92.90663429
69,95.79938561
70,96.26070704
71,94.79016686
72,97.36553452
73,98.07527214
74,97.21765948
75,97.50625531
76,98.33365839
77,100.2530635
78,98.18725344
79,100.5494063
80,101.4136016
81,98.99679649
82,99.15443263
83,100.7612586
84,100.1447983
85,102.1988616
86,101.8982841
87,102.4112711
88,100.1745971
89,102.3696108
90,100.2753693
91,100.7601356
92,102.7465219
93,101.3514658
94,101.3262663
95,102.5102356
96,100.196236
97,101.596631
98,99.42074555
99,100.2470015
100,100.2189753
101,99.43794716
102,100.152121
103,97.46231928
104,98.33920416
105,97.31659908
106,96.28018413
107,98.0822033
108,95.27399417
109,96.80832303
110,96.7047459
111,95.59574777
112,92.73611311
113,92.51143699
114,94.22817986
115,92.90092795
116,91.67105878
117,90.42544784
118,89.73547517
119,87.84512606
120,88.96426106
121,87.3581694
122,87.38417684
123,86.14431092
124,84.29041953
125,82.15221435
126,81.45420797
127,81.91460665
128,81.00643528
129,80.11840299
130,77.65893482
131,77.4435391
132,74.81263879
133,74.00406179
134,72.96395297
135,73.06555333
136,71.32400683
137,69.10836459
138,69.2989417
139,67.08745277
140,66.70380481
141,63.7847982
142,62.98054896
143,62.63421086
144,60.1165818
145,57.54251437
146,58.19063673
147,57.05416537
148,53.95568914
149,52.27376068
150,52.47433601
151,50.13490724
152,48.5924848
153,45.79376069
154,45.93622466
155,42.83723163
156,42.78012823
157,40.88234544
158,37.6205609
159,36.55432364
160,35.82436272
161,35.36331649
162,31.46287171
163,31.04690567
164,29.2069238
165,26.44795203
166,25.19531248
167,23.19237834
168,22.51420627
169,21.60324526
170,17.6770816
171,16.51704034
172,15.28456186
173,12.58339584
174,12.30379112
175,9.155280527
176,8.742094716
177,6.984754109
178,5.426061063
179,3.398185491
180,0.3330615875
181,0.7498473385
182,-0.9222765887
183,-2.643684652
184,-5.477022525
185,-7.544703052
186,-10.22211228
187,-9.532548506
188,-13.55173104
189,-15.02863397
190,-16.27126168
191,-16.37007286
192,-19.25419047
193,-19.82244439
194,-22.61770022
195,-23.36429481
196,-24.79308586
197,-28.14090276
198,-28.90547474
199,-29.68532815
200,-34.18063867
201,-35.30662918
202,-36.57607196
203,-37.61732857
204,-39.72824545
205,-41.63679558
206,-42.43540423
207,-43.58939039
208,-44.9009747
209,-46.69430634
210,-48.57020784
211,-49.39949024
212,-51.65387537
213,-52.57939232
214,-53.97753061
215,-55.83329105
216,-56.08106105
217,-59.77837191
218,-59.05711904
219,-60.92356221
220,-63.3227881
221,-64.58340273
222,-65.80889758
223,-66.29616987
224,-68.19625747
225,-69.25036804
226,-71.1763665
227,-72.40503431
228,-73.94262527
229,-73.8716125
230,-74.48162582
231,-76.9711486
232,-75.81571588
233,-79.40606174
234,-80.30886797
235,-81.60969652
236,-79.97718922
237,-81.43133103
238,-83.51056212
239,-83.4545046
240,-85.30842224
241,-86.96074845
242,-88.23418883
243,-86.57050667
244,-87.30112064
245,-90.10278889
246,-88.99726343
247,-90.08259665
248,-92.1466875
249,-92.43123375
250,-93.87452213
251,-93.24318896
252,-92.5086307
253,-92.68144479
254,-94.80352616
255,-96.11100271
256,-95.23280034
257,-94.79145721
258,-95.86357224
259,-96.12002956
260,-98.42700524
261,-98.36617036
262,-96.13768129
263,-98.58034274
264,-98.92456484
265,-98.35873351
266,-99.42856924
267,-98.07134753
268,-99.13561062
269,-97.13529434
270,-98.66688764
271,-99.76327099
272,-97.68546023
273,-97.11759876
274,-98.32365338
275,-96.93413289
276,-98.04114384
277,-97.88250106
278,-98.51867098
279,-97.33713542
280,-97.53517109
281,-96.93826273
282,-97.80288293
283,-94.6173553
284,-95.80988432
285,-96.39459061
286,-94.78496683
287,-94.67681578
288,-92.72625231
289,-94.3966828
290,-93.87113109
291,-90.74346305
292,-92.20771605
293,-89.50312384
294,-88.39194249
295,-89.91226628
296,-89.32270563
297,-86.15328863
298,-85.30115483
299,-85.09560481
300,-85.1487067
301,-82.99198742
302,-83.4488862
303,-82.6453036
304,-80.60626048
305,-80.09740132
306,-80.15513033
307,-79.39012156
308,-76.5030418
309,-76.09293183
310,-76.43946594
311,-73.47019323
312,-73.48616494
313,-72.71440533
314,-69.79896423
315,-68.14387044
316,-69.4651272
317,-67.65114517
318,-65.86867466
319,-63.69260421
320,-63.33830641
321,-61.38274431
322,-59.647705
323,-58.65595481
324,-56.53268653
325,-56.29294156
326,-54.22879128
327,-52.89151137
328,-51.94949519
329,-48.5578248
330,-47.13038916
331,-48.37344794
332,-44.39769173
333,-45.17765473
334,-43.3976989
335,-40.21864006
336,-40.49275516
337,-39.04992447
338,-34.61266994
339,-34.16070882
340,-32.29997759
341,-31.16583753
342,-29.8329137
343,-28.58005593
344,-24.70947672
345,-24.85321107
346,-23.2655864
347,-22.24189968
348,-18.6443997
349,-17.48587854
350,-17.17468583
351,-15.09451406
352,-12.72429698
353,-11.23298712
354,-8.118839459
355,-6.836322265
356,-4.932404521
357,-4.231156353
358,-3.121543852
359,-1.473188196
360,1.831421313
361,3.971715927
362,6.213051814
363,7.243803317
364,7.691113084
365,8.730144322
366,13.30834211
367,14.78459244
368,14.46163391
369,18.62306594
370,19.39333417
371,19.5134859
372,22.72478492
373,23.60042264
374,24.76659601
375,27.23496721
376,28.03729995
377,29.67974872
378,33.82596204
379,33.48340549
380,35.63069411
381,36.17112496
